False Positives,Jaccard Similarity
"('jailhouse+rock_20048652.html', 'jailhouse+rock_20020713.html')",0.8348623853211009
"('its+beginning+to+look+like+christmas_20802363.html', 'its+beginning+to+look+like+christmas_20312234.html')",0.8333333333333334
"('the+first+noel_20103345.html', 'noel_21095313.html')",0.8375
"('out+of+the+rain_20823769.html', 'out+of+the+rain_20492963.html')",0.8307692307692308
"('silent+night_20680156.html', 'silent+night_20460140.html')",0.8414634146341463
"('shout+to+the+lord_20694968.html', 'shout+to+the+lord_20599749.html')",0.8275862068965517
"('stay+with+me_21088932.html', 'stay+with+me_21081989.html')",0.8490566037735849
"('shout+to+the+lord_20694968.html', 'shout+to+the+lord_20221252.html')",0.8421052631578947
"('broken+dreams_20061620.html', 'brave+mountaineers_20061546.html')",0.84472049689441
"('the+first+noel_20772692.html', 'noel_21095313.html')",0.8433734939759037
"('gonna+love+ya_10239259.html', 'gonna+love+ya+till+the+cows+come+home_20955590.html')",0.8446601941747572
"('feelin+alright_20196052.html', 'feelin+alright_20131336.html')",0.847457627118644
"('have+yourself+a+merry+little+christmas_20819495.html', 'have+yourself+a+merry+little+christmas_20726055.html')",0.8181818181818182
"('better+on+the+other+side_20840425.html', 'better+on+the+other+side_20840424.html')",0.8333333333333334
"('the+power+of+love_20300207.html', 'power+of+love_10010598.html')",0.8372093023255814
"('rocking+around+the+christmas+tree_20674300.html', 'rockin+around+the+christmas+tree_10163487.html')",0.8313253012048193
"('jumping+jack+flash_20630780.html', 'jumpin+jack+flash_20525118.html')",0.8468468468468469
"('fantines+death+come+to+me_20606961.html', 'come+to+me+fantines+death_20571307.html')",0.8305785123966942
"('chevrolet_20167673.html', 'chevrolet_20149294.html')",0.8455882352941176
"('alfire+love_21095929.html', 'afire+love_21084845.html')",0.8439716312056738
"('dont+blame+me_20183812.html', 'dont+blame+me_10189657.html')",0.8461538461538461
"('dream+a+little+dream_21070650.html', 'dream+a+little+dream+of+me_20087274.html')",0.8415841584158416
"('come+rain+or+come+shine_20018040.html', 'come+rain+or+come+shine_20013259.html')",0.8378378378378378
"('optimistic_20579401.html', 'optimistic_20113272.html')",0.8448275862068966
"('stand+by+me_20720745.html', 'stand+by+me_20102322.html')",0.8435374149659864
"('have+yourself+a+merry+little+christmas_20222059.html', 'have+yourself+a+merry+litlle+christmas_20726965.html')",0.8275862068965517
"('i+wont+last+a+day+without+you_20547250.html', 'i+wont+last+a+day+without+you_20027436.html')",0.8486486486486486
"('with+or+without+you_20705522.html', 'with+or+without+you_20547230.html')",0.8434782608695652
"('o+little+town_20007591.html', 'little+town_20032176.html')",0.8434782608695652
"('have+yourself+a+merry+little+christmas_20222059.html', 'have+yourself+a+merry+little+christmas_10163491.html')",0.8275862068965517
"('have+yourself+a+merry+little+christmas_20222059.html', 'have+yourself+a+merry+little+christmas_20222057.html')",0.8470588235294118
"('have+yourself+a+merry+little+christmas_20222059.html', 'have+yourself+a+merry+little+christmas_20139592.html')",0.8470588235294118
"('have+yourself+a+merry+little+christmas_20222059.html', 'have+yourself+a+merry+little+christmas_20144693.html')",0.8470588235294118
"('have+yourself+a+merry+little+christmas_21047536.html', 'have+yourself+a+merry+little+christmas_20529227.html')",0.8369565217391305
"('have+yourself+a+merry+little+christmas_21047536.html', 'have+yourself+a+merry+little+christmas_20755082.html')",0.8369565217391305
"('have+yourself+a+merry+little+christmas_21047536.html', 'have+yourself+a+merry+christmas_21052123.html')",0.8369565217391305
"('i+am+a+man+of+constant+sorrow_20575564.html', 'i+am+a+man+of+constant+sorrow_20521745.html')",0.8440860215053764
"('one_20141388.html', 'one_20067530.html')",0.8367346938775511
"('doctor+my+eyes_20180017.html', 'doctor+my+eyes_10188127.html')",0.8389261744966443
"('one_20720741.html', 'one_20067530.html')",0.8483606557377049
"('the+future+song_20143445.html', 'the+future+song_20082711.html')",0.8357142857142857
"('anything+for+you_20804225.html', 'anything+for+you_20081644.html')",0.8317307692307693
"('have+yourself+a+merry+little+christmas_21047536.html', 'have+yourself+a+merry+little+christmas_20765880.html')",0.8369565217391305
